1,2,0.647
1,3,0.654
1,4,0.667
1,5,0.666
1,6,0.657
1,7,0.694
1,8,0.68
1,9,0.706
1,10,0.722
1,11,0.719
1,12,0.711
1,13,0.72
1,14,0.883
1,15,0.632
1,16,0.618
1,17,0.639
1,18,0.622
1,19,0.65
1,20,0.645
1,21,0.642
1,22,0.705
1,23,0.701
1,24,0.689
1,25,0.716
1,26,0.7
1,27,0.889
1,28,0.627
1,29,0.601
1,30,0.621
1,31,0.658
1,32,0.648
1,33,0.655
1,34,0.649
1,35,0.669
1,36,0.693
1,37,0.693
1,38,0.712
1,39,0.721
1,40,0.871
1,41,0.6
1,42,0.641
1,43,0.624
1,44,0.648
1,45,0.652
1,46,0.655
1,47,0.681
1,48,0.683
1,49,0.694
1,50,0.682
1,51,0.72
1,52,0.692
2,3,0.522
2,4,0.547
2,5,0.585
2,6,0.569
2,7,0.553
2,8,0.59
2,9,0.58
2,10,0.564
2,11,0.587
2,12,0.639
2,13,0.602
2,14,0.605
2,15,0.599
2,16,0.477
2,17,0.532
2,18,0.545
2,19,0.526
2,20,0.549
2,21,0.539
2,22,0.532
2,23,0.541
2,24,0.577
2,25,0.628
2,26,0.614
2,27,0.62
2,28,0.587
2,29,0.497
2,30,0.49
2,31,0.546
2,32,0.562
2,33,0.535
2,34,0.583
2,35,0.539
2,36,0.566
2,37,0.594
2,38,0.596
2,39,0.581
2,40,0.623
2,41,0.575
2,42,0.494
2,43,0.493
2,44,0.539
2,45,0.545
2,46,0.53
2,47,0.544
2,48,0.566
2,49,0.559
2,50,0.569
2,51,0.597
2,52,0.588
3,4,0.535
3,5,0.588
3,6,0.56
3,7,0.565
3,8,0.592
3,9,0.592
3,10,0.594
3,11,0.628
3,12,0.629
3,13,0.643
3,14,0.636
3,15,0.508
3,16,0.629
3,17,0.522
3,18,0.536
3,19,0.553
3,20,0.542
3,21,0.524
3,22,0.545
3,23,0.579
3,24,0.599
3,25,0.613
3,26,0.615
3,27,0.619
3,28,0.494
3,29,0.604
3,30,0.51
3,31,0.555
3,32,0.533
3,33,0.559
3,34,0.533
3,35,0.574
3,36,0.586
3,37,0.592
3,38,0.601
3,39,0.604
3,40,0.6
3,41,0.502
3,42,0.596
3,43,0.524
3,44,0.576
3,45,0.539
3,46,0.545
3,47,0.523
3,48,0.574
3,49,0.597
3,50,0.572
3,51,0.613
3,52,0.648
4,5,0.585
4,6,0.589
4,7,0.587
4,8,0.596
4,9,0.617
4,10,0.62
4,11,0.606
4,12,0.649
4,13,0.647
4,14,0.646
4,15,0.507
4,16,0.52
4,17,0.659
4,18,0.558
4,19,0.578
4,20,0.56
4,21,0.575
4,22,0.559
4,23,0.594
4,24,0.616
4,25,0.614
4,26,0.61
4,27,0.649
4,28,0.502
4,29,0.523
4,30,0.608
4,31,0.565
4,32,0.555
4,33,0.55
4,34,0.569
4,35,0.563
4,36,0.574
4,37,0.587
4,38,0.619
4,39,0.618
4,40,0.631
4,41,0.51
4,42,0.554
4,43,0.642
4,44,0.522
4,45,0.55
4,46,0.592
4,47,0.563
4,48,0.564
4,49,0.598
4,50,0.594
4,51,0.601
4,52,0.617
5,6,0.596
5,7,0.62
5,8,0.632
5,9,0.614
5,10,0.626
5,11,0.643
5,12,0.613
5,13,0.64
5,14,0.634
5,15,0.527
5,16,0.523
5,17,0.575
5,18,0.69
5,19,0.616
5,20,0.598
5,21,0.61
5,22,0.598
5,23,0.588
5,24,0.588
5,25,0.62
5,26,0.619
5,27,0.623
5,28,0.529
5,29,0.552
5,30,0.512
5,31,0.667
5,32,0.602
5,33,0.604
5,34,0.582
5,35,0.583
5,36,0.573
5,37,0.61
5,38,0.628
5,39,0.626
5,40,0.661
5,41,0.542
5,42,0.545
5,43,0.545
5,44,0.685
5,45,0.581
5,46,0.585
5,47,0.58
5,48,0.6
5,49,0.588
5,50,0.624
5,51,0.648
5,52,0.603
6,7,0.61
6,8,0.65
6,9,0.591
6,10,0.636
6,11,0.631
6,12,0.631
6,13,0.664
6,14,0.637
6,15,0.521
6,16,0.529
6,17,0.568
6,18,0.578
6,19,0.699
6,20,0.589
6,21,0.593
6,22,0.592
6,23,0.599
6,24,0.641
6,25,0.613
6,26,0.631
6,27,0.639
6,28,0.534
6,29,0.563
6,30,0.557
6,31,0.581
6,32,0.693
6,33,0.616
6,34,0.584
6,35,0.611
6,36,0.608
6,37,0.615
6,38,0.633
6,39,0.606
6,40,0.641
6,41,0.543
6,42,0.54
6,43,0.575
6,44,0.558
6,45,0.692
6,46,0.624
6,47,0.615
6,48,0.591
6,49,0.598
6,50,0.624
6,51,0.616
6,52,0.635
7,8,0.657
7,9,0.634
7,10,0.639
7,11,0.661
7,12,0.661
7,13,0.703
7,14,0.653
7,15,0.558
